iter	Logloss
0	0.6786441765
1	0.6647846652
2	0.6513928872
3	0.6387107386
4	0.6264606874
5	0.6149603759
6	0.6038573546
7	0.5932330773
8	0.5831433276
9	0.5729037138
10	0.5636209657
11	0.5547105733
12	0.5457258856
13	0.5372599253
14	0.5294334927
15	0.5222026228
16	0.5146850308
17	0.5078947668
18	0.5013635529
19	0.4952188085
20	0.4888813695
21	0.48312756
22	0.477253794
23	0.4720014507
24	0.4669719276
25	0.4618091228
26	0.4568810914
27	0.4523095575
28	0.447796521
29	0.4434882983
30	0.439130481
31	0.4349837393
32	0.4310333963
33	0.4273303611
34	0.4234072527
35	0.4203217485
36	0.4166912999
37	0.4135307947
38	0.4104301321
39	0.4073138467
40	0.404268645
41	0.4013901856
42	0.3985478834
43	0.395909625
44	0.3932349804
45	0.3907181788
46	0.3881799708
47	0.3857750703
48	0.3832928109
49	0.3809380089
50	0.3787697506
51	0.3767199593
52	0.3743757404
53	0.3721330822
54	0.3700285051
55	0.3679625354
56	0.3660030723
57	0.3642041305
58	0.3624521052
59	0.3605043561
60	0.3587767345
61	0.3570664529
62	0.3552547272
63	0.3535354134
64	0.3515337551
65	0.3498128725
66	0.3483537078
67	0.3468181918
68	0.3452570612
69	0.343917227
70	0.3424957107
71	0.3409770851
72	0.3396012669
73	0.3381262447
74	0.3367336598
75	0.3354876518
76	0.3340052062
77	0.3326334231
78	0.3315663217
79	0.3304951908
80	0.3291924697
81	0.3281524416
82	0.3270791197
83	0.3257198987
84	0.3242705158
85	0.3228336021
86	0.3218159222
87	0.3208582181
88	0.3198061808
89	0.3188958841
90	0.3179166933
91	0.3170116888
92	0.3160915289
93	0.3152422014
