iter	Passed	Remaining
0	67	16811
1	132	16414
2	198	16259
3	263	16146
4	329	16055
5	401	16245
6	467	16169
7	533	16086
8	599	15989
9	665	15909
10	730	15803
11	795	15709
12	860	15615
13	925	15541
14	989	15442
15	1054	15359
16	1120	15295
17	1186	15230
18	1252	15167
19	1327	15201
20	1393	15134
21	1458	15049
22	1523	14970
23	1588	14892
24	1654	14821
25	1717	14734
26	1782	14657
27	1847	14583
28	1913	14513
29	1976	14427
30	2039	14341
31	2104	14268
32	2168	14193
33	2231	14110
34	2294	14030
35	2360	13968
36	2424	13888
37	2489	13822
38	2553	13752
39	2616	13669
40	2677	13583
41	2741	13509
42	2802	13426
43	2865	13351
44	2931	13290
45	2995	13218
46	3060	13155
47	3123	13080
48	3188	13012
49	3249	12934
50	3310	12853
51	3375	12787
52	3440	12722
53	3504	12653
54	3563	12570
55	3626	12498
56	3688	12425
57	3753	12361
58	3823	12312
59	3885	12238
60	3950	12176
61	4016	12115
62	4077	12038
63	4141	11972
64	4204	11902
65	4263	11821
66	4329	11759
67	4390	11687
68	4455	11623
69	4518	11553
70	4583	11492
71	4644	11418
72	4713	11362
73	4775	11292
74	4837	11224
75	4898	11149
76	4958	11076
77	5021	11007
78	5080	10933
79	5151	10883
80	5212	10811
81	5274	10741
82	5339	10679
83	5405	10617
84	5468	10551
85	5535	10490
86	5594	10417
87	5654	10345
88	5719	10282
89	5785	10220
90	5842	10143
91	5908	10083
92	5969	10013
93	6029	9942
